X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.26967792,44.97774511,20825142,20-287645,2020/11/12 10:19:03+00,Assist a Disabled Person ,Yes,DASLT5  ,No,2,SUSPECT                                                ,1,Bodily Force,Takedown,Black,Male,19,Tensed                                                                         ,1,Downtown West
-93.26967792,44.97774511,20833955,20-287645,2020/11/12 10:19:03+00,Assist a Disabled Person ,Yes,DASLT5  ,No,1,SUSPECT                                                ,1,Taser,Red Dot,Black,Male,19,Other                                                                          ,1,Downtown West
-93.26967792,44.97774511,20834060,20-287645,2020/11/12 10:19:03+00,Assist a Disabled Person ,Yes,DASLT5  ,No,1,SUSPECT                                                ,1,Bodily Force,Body Weight Pin,Black,Male,19,Other                                                                          ,1,Downtown West
-93.28420238,44.96000991,20822345,20-287506,2020/11/12 02:47:56+00,Property Damage Accident ,Yes,HRPD    ,No,1,SUSPECT                                                ,1,Bodily Force,Body Weight Pin,Black,Male,31,Tensed                                                                         ,5,Whittier
-93.28420238,44.96000991,20823021,20-287506,2020/11/12 02:47:56+00,Property Damage Accident ,Yes,HRPD    ,No,3,SUSPECT                                                ,1,Bodily Force,Body Weight Pin,Black,Male,31,Tensed                                                                         ,5,Whittier
-93.28420238,44.96000991,20829740,20-287506,2020/11/12 02:47:56+00,Property Damage Accident ,Yes,HRPD    ,No,2,SUSPECT                                                ,1,Bodily Force,Body Weight Pin,Black,Male,31,Other                                                                          ,5,Whittier
-93.28420238,44.96000991,20832317,20-287506,2020/11/12 02:47:56+00,Property Damage Accident ,Yes,HRPD    ,No,2,SUSPECT                                                ,1,Bodily Force,Joint Lock,Black,Male,31,Other                                                                          ,5,Whittier
-93.21742318,44.9714864,20833954,20-287487,2020/11/12 02:03:37+00,Suspicious Person ,Yes,PSSFIR  ,No,1,SUSPECT                                                ,1,Bodily Force,Joint Lock,White,Male,47,Tensed                                                                         ,2,Prospect Park - East River Road
-93.27702537,44.97801922,20829891,20-287481,2020/11/12 01:55:47+00,Suspicious Person ,No,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Female,49,Verbal Non-Compliance                                                          ,1,Downtown West
-93.29256239,45.02955249,20823126,20-287448,2020/11/12 00:29:21+00,Suspicious Vehicle ,Yes,NARC    ,No,2,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,36,Tensed                                                                         ,4,Webber - Camden
-93.29256239,45.02955249,20833943,20-287448,2020/11/12 00:29:21+00,Suspicious Vehicle ,Yes,NARC    ,No,1,ARRESTEE                                               ,1,Chemical Irritant,Personal Mace,Black,Male,36,Verbal Non-Compliance                                                          ,4,Webber - Camden
-93.23374831,44.98531447,20825247,20-287398,2020/11/11 22:33:09+00,Unknown Trouble ,Yes,DAMPRP  ,No,1,INVOLVED                                               ,1,Bodily Force,Body Weight Pin,Black,Female,45,Verbal Non-Compliance                                                          ,2,Marcy Holmes
-93.23374831,44.98531447,20825358,20-287398,2020/11/11 22:33:09+00,Unknown Trouble ,Yes,DAMPRP  ,No,3,INVOLVED                                               ,1,Bodily Force,Joint Lock,Black,Female,45,Other                                                                          ,2,Marcy Holmes
-93.23374831,44.98531447,20825463,20-287398,2020/11/11 22:33:09+00,Unknown Trouble ,Yes,DAMPRP  ,No,1,INVOLVED                                               ,1,Bodily Force,Joint Lock,Black,Female,45,Verbal Non-Compliance                                                          ,2,Marcy Holmes
-93.21742318,44.9714864,20834034,20-287170,2020/11/11 16:59:49+00,Theft - Report Only ,Yes,BURGB   ,No,1,ARRESTEE                                               ,2,Bodily Force,Joint Lock,White,Male,47,Other                                                                          ,2,Prospect Park - East River Road
-93.25246604,44.94382254,20829123,20-287004,2020/11/11 12:18:17+00,Overdose-Accidental ,No,FORCE   ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Push Away,White,Male,38,Assaulted Officer                                                              ,3,Powderhorn Park
-93.25246604,44.94382254,20833875,20-287004,2020/11/11 12:18:17+00,Overdose-Accidental ,No,FORCE   ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Takedown,White,Male,38,Assaulted Officer                                                              ,3,Powderhorn Park
-93.28682309,44.99913516,20830849,20-286687,2020/11/10 21:10:03+00,Unknown Trouble ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Black,Male,18,Verbal Non-Compliance                                                          ,4,Near - North
-93.28682309,44.99913516,20830955,20-286687,2020/11/10 21:10:03+00,Unknown Trouble ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Taser,Red Dot,Black,Male,18,Verbal Non-Compliance                                                          ,4,Near - North
-93.28682309,44.99913516,20834048,20-286687,2020/11/10 21:10:03+00,Unknown Trouble ,Yes,OBSTRU  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,Black,Male,18,Verbal Non-Compliance                                                          ,4,Near - North
-93.2397061,44.9959993,20834344,20-286594,2020/11/10 19:00:24+00,Check the Welfare ,No,DASLT5  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,White,Male,50,Other                                                                          ,2,Beltrami
-93.27785114,44.95823635,20823020,20-286580,2020/11/10 18:38:32+00,Emotionally Disturb Person ,Yes,CIC     ,No,1,PERSON IN CRISIS                                       ,1,Bodily Force,Joint Lock,Black,Male,26,Other                                                                          ,5,Whittier
-93.28799072,45.00424314,20829785,20-286125,2020/11/10 06:48:27+00,Unknown Trouble ,Yes,CIC     ,No,1,PARENT/GRDN                                            ,1,Bodily Force,Joint Lock,Black,Female,34,Other                                                                          ,4,Hawthorne
-93.28825869,44.93134454,20823504,20-286115,2020/11/10 05:30:37+00,Panic Alarm ,No,TRSPAS  ,No,1,SUSPECT                                                ,1,Bodily Force,Joint Lock,White,Male,27,Other                                                                          ,5,King Field
-93.23460561,44.981964,20829890,20-285770,2020/11/09 16:03:19+00,Unwanted Person ,Yes,TRSPAS  ,No,1,ARRESTEE                                               ,1,Bodily Force,Joint Lock,White,Male,33,Tensed                                                                         ,2,Marcy Holmes
