X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.28299,44.95134443,20830953,20-281337,2020/11/04 12:52:13+00,Fight ,Yes,WT      ,No,2,INVOLVED                                               ,1,Improvised Weapon,Bicycle,Black,Female,30,Other                                                                          ,5,Whittier
-93.26575213,44.96269275,20826237,20-281318,2020/11/04 12:28:29+00,Assault in Progress ,Yes,DASLT5  ,No,1,ARRESTEE                                               ,1,Bodily Force,Push Away,White,Male,36,Tensed                                                                         ,3,Ventura Village
-93.29573677,44.94880987,20833951,20-281192,2020/11/04 09:58:34+00,Theft - Report Only ,No,SHOPLF  ,No,1,Citee                                                  ,1,Improvised Weapon,Other Improvised Weapon,Black,Male,65,Commission of a Crime                                                          ,5,Lowry Hill East
-93.30019407,44.94836492,20824715,20-281066,2020/11/04 04:24:07+00,Unwanted Person ,Yes,FORCE   ,No,1,ARRESTEE                                               ,1,Chemical Irritant,Personal Mace,Native American,Male,50,Tensed                                                                         ,5,ECCO
-93.29003013,44.94660429,20822634,20-280970,2020/11/03 23:53:10+00,Miscellaneous ,No,ASLT4   ,No,2,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Female,29,Assaulted Officer                                                              ,5,CARAG
-93.29003013,44.94660429,20823273,20-280970,2020/11/03 23:53:10+00,Miscellaneous ,No,ASLT4   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,White,Female,29,Assaulted Officer                                                              ,5,CARAG
-93.29003013,44.94660429,20826928,20-280970,2020/11/03 23:53:10+00,Miscellaneous ,No,ASLT4   ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Female,29,Assaulted Officer                                                              ,5,CARAG
-93.29003013,44.94660429,20829737,20-280970,2020/11/03 23:53:10+00,Miscellaneous ,No,ASLT4   ,No,2,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Female,29,Assaulted Officer                                                              ,5,CARAG
-93.26443421,44.93776406,20822296,20-280941,2020/11/03 23:05:52+00,Emotionally Disturb Person ,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Body Weight Pin,White,Male,35,Verbal Non-Compliance                                                          ,3,Central
-93.26443421,44.93776406,20835399,20-280941,2020/11/03 23:05:52+00,Emotionally Disturb Person ,Yes,CIC     ,No,2,PERSON IN CRISIS                                       ,1,Bodily Force,Joint Lock,White,Male,35,Verbal Non-Compliance                                                          ,3,Central
