reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,Four,Jordan
Citizen / 9-1-1,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,White,Male,Five,Whittier
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Equipment Violation,Suspicious Vehicle (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Two,Marshall Terrace
Equipment Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Male,Four,Jordan
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Three,Standish
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Curfew Violations (P),RPT-Report,YES,YES,NO,Black,Black,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,Two,Audubon Park
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Unknown,Black,Male,Four,Folwell
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,Three,East Phillips
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Four,Near/North
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Unknown,Native American,Male,Three,Longfellow
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Three,Central
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Near/North
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Black,Male,Three,Ventura Village
Citizen / 9-1-1,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Citizen / 9-1-1,Suspicious Person (P),RPT-Report,YES,YES,NO,Other,Other,Female,Three,East Phillips
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Female,Four,Victory
Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Black,Black,Male,Two,Windom Park
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,White,Male,Four,Folwell
Investigative,Suspicious Person (P),INF-Information,NO,YES,NO,Black,Black,Male,One,Downtown West
Moving Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,Black,Female,Two,Marshall Terrace
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,White,White,Female,Five,Lyndale
Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,White,White,Female,Two,Marshall Terrace
Citizen / 9-1-1,Suspicious Person (P),AOK- All OK,NO,YES,NO,White,White,Male,One,North Loop
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Black,Black,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Black,Black,Male,Two,Northeast Park
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Black,Black,Male,Three,Corcoran
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Male,Three,Phillips West
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,Four,Jordan
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Cleveland
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Near/North
Citizen / 9-1-1,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Loring Park
Moving Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,White,White,Male,Two,Waite Park
Equipment Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Black,Male,One,Downtown West
Investigative,Attempt Pick-Up (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),RPT-Report,YES,YES,YES,Unknown,Black,Male,Four,Willard/Hay
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Two,Marcy Holmes
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Two,Bottineau
Investigative,Traffic Law Enforcement (P),ADV-Advised,NO,YES,NO,East African,East African,Male,Two,Sheridan
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,YES,Unknown,White,Male,Two,Holland
Moving Violation,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Unknown,Latino,Male,Five,CARAG
Equipment Violation,Suspicious Vehicle (P),TAG-Tagged,YES,YES,YES,Unknown,White,Male,Four,Near/North
Investigative,Suspicious Person (P),BKG-Booking,YES,YES,NO,Black,Black,Male,One,Downtown West
Citizen / 9-1-1,Suspicious Person (P),ADV-Advised,NO,YES,NO,Unknown,White,Female,Three,Keewaydin
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,NO,YES,YES,Unknown,White,Male,Four,Near/North
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Native American,Female,Three,Midtown Phillips
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,NO,Unknown,Black,Male,Four,Harrison
Investigative,Suspicious Person (P),RPT-Report,YES,YES,NO,White,White,Female,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Latino,Male,Three,Corcoran
Investigative,Suspicious Person (P),RPT-Report,NO,YES,NO,Native American,Native American,Female,Three,Powderhorn Park
Citizen / 9-1-1,Traffic Law Enforcement (P),BKG-Booking,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Unknown,Black,Male,One,Downtown West
Investigative,Suspicious Vehicle (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Two,Holland
Investigative,Suspicious Person (P),RPT-Report,YES,YES,NO,Unknown,East African,Male,One,Elliot Park
