reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Five,Lyndale
Moving Violation,Traffic Law Enforcement (P),ADV-Advised,YES,NO,NO,Unknown,White,Male,Five,Whittier
Equipment Violation,Suspicious Vehicle (P),TAG-Tagged,YES,YES,NO,Black,Black,Male,Two,Marshall Terrace
Investigative,Curfew Violations (P),RPT-Report,YES,YES,NO,Black,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Unknown,Black,Male,Two,St. Anthony West
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Unknown,Black,Male,Four,Folwell
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Male,Five,Whittier
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Marcy Holmes
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Five,Stevens Square/Loring Heights
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Other,Female,Three,Longfellow
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Four,Jordan
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,Black,Female,Two,Marshall Terrace
Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,Native American,Native American,Female,One,Cedar Riverside
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Jordan
Equipment Violation,Traffic Law Enforcement (P),ADV-Advised,YES,NO,NO,Unknown,Native American,Female,Three,Ventura Village
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Female,Four,Bryn - Mawr
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Willard/Hay
Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,East African,East African,Male,One,Cedar Riverside
Citizen / 9-1-1,Suspicious Person (P),RPT-Report,YES,YES,NO,Other,Other,Female,Three,East Phillips
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Five,Cedar/Isles/Dean
Equipment Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Black,Black,Male,Two,Windom Park
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Female,Five,East Isles
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Beltrami
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,YES,YES,YES,Black,Black,Male,Three,Ventura Village
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Female,Two,Beltrami
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Male,Two,Beltrami
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Female,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Beltrami
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Male,Four,Shingle Creek
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Four,McKinley
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Cleveland
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Female,Four,Victory
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Four,Near/North
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Victory
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Male,Five,Linden Hills
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Female,One,Loring Park
Moving Violation,Traffic Law Enforcement (P),RPT-Report,YES,YES,YES,Unknown,Black,Male,Four,Willard/Hay
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Five,Whittier
Equipment Violation,Suspicious Vehicle (P),TAG-Tagged,YES,YES,YES,Unknown,White,Male,Four,Near/North
Investigative,Suspicious Person (P),BKG-Booking,YES,YES,NO,Black,Black,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),RPT-Report,YES,NO,NO,White,Latino,Female,Five,Lowry Hill East
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Marcy Holmes
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Five,Whittier
Investigative,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Harrison
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,YES,NO,Unknown,Black,Male,Four,Harrison
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Male,Five,King Field
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,White,White,Female,Four,Near/North
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),RPT-Report,YES,NO,NO,Unknown,Black,Female,Four,Jordan
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Near/North
Investigative,Suspicious Person (P),RPT-Report,YES,YES,NO,White,White,Female,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Near/North
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Near/North
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Five,Whittier
Investigative,Suspicious Person (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,One,Downtown West
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Five,Stevens Square/Loring Heights
Investigative,Suspicious Person (P),RPT-Report,YES,YES,NO,Unknown,East African,Male,One,Elliot Park
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Holland
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Willard/Hay
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Male,Two,Marcy Holmes
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,Five,Whittier
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Hawthorne
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),RPT-Report,YES,NO,NO,Black,White,Female,Five,Tangletown
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Black,Black,Female,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,East African,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Victory
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Victory
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,One,North Loop
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,One,North Loop
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,One,North Loop
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,One,North Loop
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,One,North Loop
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,One,North Loop
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Four,Jordan
Investigative,Suspicious Vehicle (P),AOK- All OK,YES,NO,NO,Unknown,Unknown,Unknown,Five,East Isles
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,YES,Unknown,Black,Male,Five,Whittier
Moving Violation,Suspicious Vehicle (P),TAG-Tagged,YES,NO,NO,Unknown,Unknown,Unknown,Five,Whittier
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,East African,East African,Male,Three,Longfellow
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Native American,Female,Five,East Isles
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,Five,Lowry Hill East
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Three,Central
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Three,Hiawatha
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Female,Five,Windom
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Three,Howe
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Latino,Male,Two,Holland
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Marcy Holmes
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,White,Male,Two,Nicollet Island/East Bank
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Other,Other,Male,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Female,One,North Loop
Equipment Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Two,Logan Park
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Asian,Female,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),TAG-Tagged,YES,NO,NO,Unknown,Black,Male,Four,Near/North
