X,Y,PoliceUseOfForceID,CaseNumber,ResponseDate,Problem,Is911Call,PrimaryOffense,SubjectInjury,ForceReportNumber,SubjectRole,SubjectRoleNumber,ForceType,ForceTypeAction,Race,Sex,EventAge,TypeOfResistance,Precinct,Neighborhood
-93.25826254,44.9873404,20822171,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,7,ARRESTEE                                               ,2,Bodily Force,Body Weight Pin,Black,Male,25,Tensed                                                                         ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20822276,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,6,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Unknown,Male,24,Commission of a Crime                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20822461,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,3,ARRESTEE                                               ,1,Taser,Touch,Unknown,Male,24,Verbal Non-Compliance                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20822464,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,5,ARRESTEE                                               ,2,Taser,Touch,Black,Male,25,Tensed                                                                         ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20824027,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,3,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Unknown,Male,24,Verbal Non-Compliance                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20824306,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,4,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Unknown,Male,24,Verbal Non-Compliance                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20827883,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,1,ARRESTEE                                               ,1,Bodily Force,Takedown,Unknown,Male,24,Commission of a Crime                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20827989,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,4,ARRESTEE                                               ,1,Taser,Touch,Unknown,Male,24,Verbal Non-Compliance                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20828941,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,2,ARRESTEE                                               ,2,Bodily Force,Body Weight Pin,Black,Male,25,Commission of a Crime                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20829054,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,1,ARRESTEE                                               ,1,Taser,Touch,Unknown,Male,24,Commission of a Crime                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20833489,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,5,ARRESTEE                                               ,2,Bodily Force,Body Weight Pin,Black,Male,25,Tensed                                                                         ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20833595,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,5,ARRESTEE                                               ,2,Maximal Restraint Technique,Not Side Recovery Position,Black,Male,25,Tensed                                                                         ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20833972,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,1,ARRESTEE                                               ,1,Bodily Force,Body Weight Pin,Unknown,Male,24,Commission of a Crime                                                          ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20834078,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,7,ARRESTEE                                               ,2,Bodily Force,Takedown,Black,Male,25,Tensed                                                                         ,2,Nicollet Island - East Bank
-93.25826254,44.9873404,20835265,19-361795,2019/12/08 01:51:28+00,Fight ,No,ASLT2   ,No,4,ARRESTEE                                               ,1,Maximal Restraint Technique,Not Side Recovery Position,Unknown,Male,24,Verbal Non-Compliance                                                          ,2,Nicollet Island - East Bank
-93.31078036,44.99242775,20830299,19-361233,2019/12/07 13:25:35+00,Theft ,Yes,CIC     ,No,1,SUSPECT                                                ,1,Taser,Firing Darts,Black,Male,44,Other                                                                          ,4,Willard - Hay
-93.27342211,44.97543284,20834220,19-361211,2019/12/07 12:38:46+00,Theft - Report Only ,No,TBLDG   ,Yes,1,ARRESTEE                                               ,1,Bodily Force,Takedown,White,Female,51,Tensed                                                                         ,1,Downtown West
-93.30002098,45.00778264,20821201,19-361189,2019/12/07 12:00:33+00,Burglary Dwlng In Progress ,Yes,STOLMV  ,No,1,JUV-ARRESTEE                                           ,1,Bodily Force,Joint Lock,Black,Male,14,Fled on Foot                                                                   ,4,Jordan
